PARA,DES
BFV122,CHARGING FLOW CONTROL VALVE(FV122) POSITION
BFV478,FW CONTROL VLV #1 POS (0-1)
BFV479,FW BYPASS VLV #1 POS (0-1)
BFV488,FW CONTROL VLV #2 POS (0-1)
BFV489,FW BYPASS VLV #2 POS (0-1)
BFV498,FW CONTROL VLV #3 POS (0-1)
BFV499,FW BYPASS VLV #3 POS (0-1)
BHSV,HP TURBINE STOP VALVE POSITION (0-1).
BHTBY,HP TURBINE BYPASS VALVE POSITION (0-1)
BHV033,GLAND SEAL STEAM VALVE POSITION (0-1).
BHV1,45(HV1)  GPM ORIFICE VALVE POSITION
BHV2,60(HV2)  GPM ORIFICE VALVE POSITION
BHV41,EXCESS LETDOWN VALVE(HV41) POSITION
BHV6,HV6 VALVE POSITION
BLV459,LETDOWN ISOLATION VALVE(LV459) POSITION
BPORV,POWER OPERATED RELIEF VALVE (PV445)POSITION.
BPSV10,PSV10 VALVE POSITION.
BPV145,PV145 VALVE POSITION (0.0-1.0)
BRHSV,REHEATER STOP VALVE POSITION (0-1)
BTV143,"TV143, LETDOWN TEMP. DEMINERALIZER DEVERT VALVE POSITION"
BTV418,STEAM DUMP VALVE POS (0-1)
BV101,PV101  VALVE POSITION (0.0-1.0)
BV102,PV102 VALVE POSITION (0.0-1.0)
BV201,PV201 VALVE POSITION (0.0-1.0)
BV202,PV202 VALVE POSITION (0.0-1.0)
BV301,PV301 VALVE POSITION (0.0-1.0)
BV302,PV302 VALVE POSITION (0.0-1.0)
KBCDO10,CONTROL BANK A POSITION.
KBCDO17,SPEED SETPOINT RPM.
KBCDO18,ACCELERATION SETPOINT.
KBCDO19,TURBINE SPEED RPM.
KBCDO3,SHUTDOWN BANK D POSITION.
KBCDO4,SHUTDOWN BANK C POSITION.
KBCDO5,SHUTDOWN BANK B POSITION.
KBCDO6,SHUTDOWN BANK A POSITION.
KBCDO7,CONTROL BANK D POSITION.
KBCDO8,CONTROL BANK C POSITION.
KBCDO9,CONTROL BANK B POSITION.
KFV610,BORIC ACID INJECTION VALVE (FV610) STATUS
KFV613,MAKEUP WATER INJECTION VALVE (FV613) STATUS
KLAMPO110,PORV MANUAL
KLAMPO117,PROP HEATERS MANUAL
KLAMPO118,BACK-UP HEATER ON
KLAMPO119,PRZ SPRAY FLOW AUTO/MANUAL
KLAMPO144,FWRV 1 BYPASS VALVE MANUAL
KLAMPO145,FWRV 2 BYPASS VALVE MANUAL
KLAMPO146,FWRV 3 BYPASS VALVE MANUAL
KLAMPO147,FWRV 1 VALVE MANUAL
KLAMPO148,FWRV 2 VALVE MANUAL
KLAMPO149,FWRV 3 VALVE MANUAL
KLAMPO201,"CONTROL SIGNAL, C-1"
KLAMPO202,"CONTROL SIGNAL, C-2"
